regime_label,dimension,surface,observation_count,coverage_status,primary_metric,primary_metric_value,metric_direction,positive_contribution_share,absolute_contribution_share,contribution_sign,metric_rank,is_best_regime,is_worst_regime,evidence_warning,coverage_caveat,mean_ic,mean_rank_ic,ic_std,rank_ic_std,ic_ir,rank_ic_ir
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,composite,alpha,1,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
volatility=low_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,alpha,5,sufficient,mean_ic,0.3045042306277388,desc,0.6567647066664958,0.6567647066664958,positive,1.0,True,False,,,0.3045042306277388,0.2620615000337027,0.15954245516428403,0.08817638482185725,1.9086094062811354,2.9720145656135206
volatility=low_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,alpha,5,sufficient,mean_ic,0.15913857407364967,desc,0.3432352933335042,0.3432352933335042,positive,2.0,False,True,,,0.15913857407364967,0.16388955582232886,0.028303883867807546,0.058097566022078787,5.622499541649538,2.8209366939752005
volatility=normal_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,alpha,2,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=dispersion_stress,composite,alpha,1,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,alpha,2,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
volatility=normal_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,composite,alpha,1,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
volatility=normal_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,alpha,2,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
