regime_label,dimension,surface,observation_count,coverage_status,primary_metric,primary_metric_value,metric_direction,positive_contribution_share,absolute_contribution_share,contribution_sign,metric_rank,is_best_regime,is_worst_regime,evidence_warning,coverage_caveat,mean_ic,mean_rank_ic,ic_std,rank_ic_std,ic_ir,rank_ic_ir
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,composite,alpha,1,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
volatility=low_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,alpha,5,sufficient,mean_ic,0.004110376322864238,desc,1.0,0.054529770509942024,positive,1.0,True,False,,,0.004110376322864238,-0.008498807367166855,0.1580271230264255,0.1856435529658045,0.026010574919957858,-0.04578024516010169
volatility=low_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,alpha,5,sufficient,mean_ic,-0.07126819733379222,desc,0.0,0.945470229490058,negative,2.0,False,True,,,-0.07126819733379222,-0.0609747899159664,0.1384325460153486,0.11913300456293921,-0.5148225571600078,-0.5118211375568287
volatility=normal_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,alpha,2,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=dispersion_stress,composite,alpha,1,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,alpha,2,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
volatility=normal_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,composite,alpha,1,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
volatility=normal_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,alpha,2,sparse,mean_ic,,desc,,,undefined,,False,False,sparse_evidence,regime has fewer than min_observations rows,,,,,,
