selection_rank,candidate_id,alpha_name,alpha_run_id,sleeve_run_id,mapping_name,dataset,timeframe,evaluation_horizon,mean_ic,ic_ir,mean_rank_ic,rank_ic_ir,n_periods,sharpe_ratio,annualized_return,total_return,max_drawdown,average_turnover,promotion_status,review_status,artifact_path,allocation_weight,allocation_method,pre_constraint_weight,constraint_adjusted_flag
1,ml_cross_sectional_xgb_2026_q1_alpha_eval_366f61a76d97,ml_cross_sectional_xgb_2026_q1,ml_cross_sectional_xgb_2026_q1_alpha_eval_366f61a76d97,,top_bottom_quantile_q20,features_daily,1D,5,0.2546042594447913,1.9198107890623903,0.22522079840369522,3.08286962892838,19,12.465814141682714,0.34589515516635605,0.028695366787475418,0.0005616872849203425,0.25833333333333336,,needs_review,C:/Users/christophermoverton/stratlake-trade-engine/docs/examples/output/real_world_campaign_case_study/artifacts/alpha/ml_cross_sectional_xgb_2026_q1_alpha_eval_366f61a76d97,0.333333333334,equal_weight,0.3333333333333333,False
3,ml_cross_sectional_elastic_net_2026_q1_alpha_eval_813a3a37e1a0,ml_cross_sectional_elastic_net_2026_q1,ml_cross_sectional_elastic_net_2026_q1_alpha_eval_813a3a37e1a0,,top_bottom_quantile_q20,features_daily,1D,5,0.12084441007118236,0.8272437066429204,0.16196169208551706,0.9601781571295526,19,2.4534389930906864,0.07741062689211997,0.007126280964646847,0.007446498673378321,0.023333333333333334,,needs_review,C:/Users/christophermoverton/stratlake-trade-engine/docs/examples/output/real_world_campaign_case_study/artifacts/alpha/ml_cross_sectional_elastic_net_2026_q1_alpha_eval_813a3a37e1a0,0.333333333333,equal_weight,0.3333333333333333,False
4,rank_composite_momentum_2026_q1_alpha_eval_81ef86e27306,rank_composite_momentum_2026_q1,rank_composite_momentum_2026_q1_alpha_eval_81ef86e27306,,top_bottom_quantile_q20,features_daily,1D,5,-0.007925863633708358,-0.04543185604194747,-0.0019231397412175382,-0.011713612309876541,19,-2.8283515697147212,-0.11178227958316722,-0.011225884228951988,0.01356917793168022,0.17333333333333334,,needs_review,C:/Users/christophermoverton/stratlake-trade-engine/docs/examples/output/real_world_campaign_case_study/artifacts/alpha/rank_composite_momentum_2026_q1_alpha_eval_81ef86e27306,0.333333333333,equal_weight,0.3333333333333333,False
