ts_utc,strategy_return__ml_cross_sectional_lgbm_2026_q1__ml_cross_sectional_lgbm_2026_q1_alpha_eval_f3eec87f23a6,strategy_return__ml_cross_sectional_xgb_2026_q1__ml_cross_sectional_xgb_2026_q1_alpha_eval_4d1d270521e2,strategy_return__rank_composite_momentum_2026_q1__rank_composite_momentum_2026_q1_alpha_eval_3256df8cbd0a,weight__ml_cross_sectional_lgbm_2026_q1__ml_cross_sectional_lgbm_2026_q1_alpha_eval_f3eec87f23a6,weight__ml_cross_sectional_xgb_2026_q1__ml_cross_sectional_xgb_2026_q1_alpha_eval_4d1d270521e2,weight__rank_composite_momentum_2026_q1__rank_composite_momentum_2026_q1_alpha_eval_3256df8cbd0a,gross_portfolio_return,portfolio_weight_change,portfolio_abs_weight_change,portfolio_turnover,portfolio_rebalance_event,portfolio_changed_sleeve_count,portfolio_transaction_cost,portfolio_fixed_fee,portfolio_slippage_proxy,portfolio_slippage_cost,portfolio_execution_friction,net_portfolio_return,portfolio_return
2026-03-02T05:00:00Z,0.0,0.0,0.0,0.33333333333303017,0.33333333333303017,0.33333333333303017,0.0,0.9999999999990905,0.9999999999990905,0.9999999999990905,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03T05:00:00Z,0.0044866403395871,0.0037727310858982,-0.002559376611793,0.33333333333303017,0.33333333333303017,0.33333333333303017,0.001899998271229039,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0036062493457561535,0.0,0.0,0.001899998271229039,0.001899998271229039
2026-03-04T05:00:00Z,0.0033455434276784,0.0032803493295468,-0.0046708359014516,0.33333333333303017,0.33333333333303017,0.33333333333303017,0.0006516856185906071,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0037655762195555084,0.0,0.0,0.0006516856185906071,0.0006516856185906071
2026-03-05T05:00:00Z,-1.3691513074749472e-05,0.0002411468613282,0.0009294945323106,0.33333333333303017,0.33333333333303017,0.33333333333303017,0.0003856499601876661,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0003947776355708241,0.0,0.0,0.0003856499601876661,0.0003856499601876661
2026-03-06T05:00:00Z,0.0001617957995658,0.0004717581348769,0.0010042595266302,0.33333333333303017,0.33333333333303017,0.33333333333303017,0.0005459378203571367,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0005459378203571367,0.0,0.0,0.0005459378203571367,0.0005459378203571367
2026-03-09T04:00:00Z,0.0020208381330759,0.0027166450729435,-0.0016412560045792,0.33333333333303017,0.33333333333303017,0.33333333333303017,0.0010320757338124612,0.0,0.0,0.0,0,0.0,0.0,0.0,0.002126246403530933,0.0,0.0,0.0010320757338124612,0.0010320757338124612
2026-03-10T04:00:00Z,0.0009137888792538,0.0006384480258856,-0.0036431501193348,0.33333333333303017,0.33333333333303017,0.33333333333303017,-0.0006969710713978327,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0017317956748231582,0.0,0.0,-0.0006969710713978327,-0.0006969710713978327
2026-03-11T04:00:00Z,0.0018385720647874,0.0030738140332859,0.0023135537617063,0.33333333333303017,0.33333333333303017,0.33333333333303017,0.0024086466199243427,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0024086466199243427,0.0,0.0,0.0024086466199243427,0.0024086466199243427
2026-03-12T04:00:00Z,0.0021174603667894,0.0013166072100629,0.0033477687415893,0.33333333333303017,0.33333333333303017,0.33333333333303017,0.002260612106145144,0.0,0.0,0.0,0,0.0,0.0,0.0,0.002260612106145144,0.0,0.0,0.002260612106145144,0.002260612106145144
2026-03-13T04:00:00Z,0.0003573497010701,0.0025064111920051,-0.0013819053633646,0.33333333333303017,0.33333333333303017,0.33333333333303017,0.0004939518432364174,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0014152220854786461,0.0,0.0,0.0004939518432364174,0.0004939518432364174
2026-03-16T04:00:00Z,-0.0007083329120076,-0.0003358256275019,-0.002208357793935,0.33333333333303017,0.33333333333303017,0.33333333333303017,-0.0010841721111471804,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0010841721111471804,0.0,0.0,-0.0010841721111471804,-0.0010841721111471804
2026-03-17T04:00:00Z,-0.0014774730833025,-0.0001962599729256,-3.811190214590976e-06,0.33333333333303017,0.33333333333303017,0.33333333333303017,-0.0005591814154803884,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0005591814154803884,0.0,0.0,-0.0005591814154803884,-0.0005591814154803884
2026-03-18T04:00:00Z,-8.812347496949258e-05,0.0024746744049774,0.0014499620743501,0.33333333333303017,0.33333333333303017,0.33333333333303017,0.0012788376681181729,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0013375866514311145,0.0,0.0,0.0012788376681181729,0.0012788376681181729
2026-03-19T04:00:00Z,-0.0012552030579208,-0.0004947660236786,0.0003691675154584,0.33333333333303017,0.33333333333303017,0.33333333333303017,-0.0004602671887132481,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0007063788656852909,0.0,0.0,-0.0004602671887132481,-0.0004602671887132481
