ts_utc,portfolio_equity_curve
2026-03-02T05:00:00Z,1.0
2026-03-03T05:00:00Z,1.001899998271229
2026-03-04T05:00:00Z,1.0025529220913683
2026-03-05T05:00:00Z,1.002939556585859
2026-03-06T05:00:00Z,1.0034870992213314
2026-03-09T04:00:00Z,1.0045227739056315
2026-03-10T04:00:00Z,1.003822650591659
2026-03-11T04:00:00Z,1.00624050462601
2026-03-12T04:00:00Z,1.008515224092461
2026-03-13T04:00:00Z,1.0090133820463334
2026-03-16T04:00:00Z,1.0079194378777445
2026-03-17T04:00:00Z,1.0073558280597819
2026-03-18T04:00:00Z,1.008644072637903
2026-03-19T04:00:00Z,1.0081798268661775
2026-03-20T04:00:00Z,1.0085002966062624
2026-03-23T04:00:00Z,1.0083424078557923
2026-03-24T04:00:00Z,1.0076855501345678
2026-03-25T04:00:00Z,1.0080156567763021
2026-03-26T04:00:00Z,1.010785005438343
2026-03-27T04:00:00Z,1.0123030340069596
2026-03-30T04:00:00Z,1.0120172807643133
2026-03-31T04:00:00Z,1.0115244007178805
2026-04-01T04:00:00Z,1.01259216282704
2026-04-02T04:00:00Z,1.0136869473852348
