ts_utc,posterior_cluster_0,posterior_cluster_1,posterior_cluster_2
2025-02-03T05:00:00Z,0.9999999999999978,1.1097959088553192e-16,2.0455843403651223e-15
2025-02-04T05:00:00Z,0.9999999999807901,1.1714838543463114e-16,1.9209704793858535e-11
2025-02-05T05:00:00Z,0.9999999999187356,9.692487347835533e-22,8.126441083956776e-11
2025-02-06T05:00:00Z,0.9999999999559279,3.518201111190049e-21,4.407201368470449e-11
2025-02-07T05:00:00Z,0.9999999964157638,1.6453089826130964e-19,3.5842362548236964e-09
2025-02-10T05:00:00Z,0.9999999999999998,1.6265163466183119e-21,1.4537795168645518e-16
2025-02-11T05:00:00Z,0.9999999999999911,2.910120437858306e-20,8.904211759817936e-15
2025-02-12T05:00:00Z,0.9999999999999905,2.550525902562052e-22,9.50946803049818e-15
2025-02-13T05:00:00Z,0.9999999999999922,6.784460596049239e-19,7.716314063149766e-15
2025-02-14T05:00:00Z,0.9999999999999984,1.993881116484497e-17,1.5684023714726698e-15
2025-02-18T05:00:00Z,0.9999999999999993,3.5210787885452855e-17,6.072377548051965e-16
2025-02-19T05:00:00Z,0.9999999999999964,3.299574475882651e-15,2.204591851454864e-16
2025-02-20T05:00:00Z,0.9999999999999951,2.5055396874457656e-16,4.676167195901215e-15
2025-02-21T05:00:00Z,0.9999999993515422,2.931544338058897e-16,6.484575578758466e-10
2025-02-24T05:00:00Z,0.9999999991925007,6.367798549872383e-19,8.074992961685394e-10
2025-02-25T05:00:00Z,0.9999999913305035,5.979592588053569e-09,2.6899039090097583e-09
2025-02-26T05:00:00Z,0.9999999941574649,1.2342383322807221e-09,4.608296714276218e-09
2025-02-27T05:00:00Z,0.9999999345157778,3.177377486947747e-11,6.54524484062728e-08
2025-02-28T05:00:00Z,0.9993002722220109,1.339393121559028e-08,0.0006997143840577456
2025-03-03T05:00:00Z,0.2458982715748017,3.344658313690907e-07,0.7541013939593669
2025-03-04T05:00:00Z,1.966324380285113e-05,1.3778759305960227e-11,0.9999803367424182
2025-03-05T05:00:00Z,0.001253053361651088,4.197910499416022e-11,0.9987469465963694
2025-03-06T05:00:00Z,6.003412489226397e-07,2.676532832787109e-10,0.9999993993910979
2025-03-07T05:00:00Z,5.028057866973759e-06,2.052929886554022e-16,0.9999949719421328
2025-03-10T04:00:00Z,1.613542597807859e-11,2.167277013536199e-22,0.9999999999838645
2025-03-11T04:00:00Z,3.111807140201129e-10,3.433303374015395e-22,0.9999999996888191
2025-03-12T04:00:00Z,1.1838746936732676e-07,2.968006842102719e-23,0.9999998816125307
2025-03-13T04:00:00Z,1.812225604846434e-12,1.3345448215370835e-32,0.9999999999981881
2025-03-14T04:00:00Z,3.791678779503075e-09,1.652585511787633e-31,0.999999996208321
2025-03-17T04:00:00Z,1.6657385766818798e-07,1.0286500656531526e-31,0.9999998334261423
2025-03-18T04:00:00Z,4.4230580536162074e-09,1.1544578522979916e-32,0.9999999955769421
2025-03-19T04:00:00Z,4.076013120728819e-06,1.0220908856760667e-35,0.9999959239868794
2025-03-20T04:00:00Z,1.4083124594223e-06,1.4256257802620395e-31,0.9999985916875405
2025-03-21T04:00:00Z,4.58648841250717e-06,4.7866739490430707e-29,0.9999954135115875
2025-03-24T04:00:00Z,0.0011607892789692546,1.904203135583802e-27,0.9988392107210309
2025-03-25T04:00:00Z,0.0030582870997432135,7.457919833406088e-27,0.9969417129002571
2025-03-26T04:00:00Z,6.627296401281122e-06,2.2593018782172733e-24,0.9999933727035986
2025-03-27T04:00:00Z,2.122813055838198e-07,4.1500436207145205e-20,0.9999997877186945
2025-03-28T04:00:00Z,7.465185289439172e-11,8.852056985260698e-23,0.9999999999253482
2025-03-31T04:00:00Z,3.0169284063271004e-10,2.758700547628466e-18,0.9999999996983071
2025-04-01T04:00:00Z,2.1124699502791472e-11,5.311784099233071e-11,0.9999999999257572
2025-04-02T04:00:00Z,1.1545062199417405e-09,9.650304267315906e-10,0.9999999978804635
2025-04-03T04:00:00Z,3.668377293874965e-43,2.0727493210338676e-14,0.9999999999999791
2025-04-04T04:00:00Z,1.919953789742075e-73,1.4263276156979516e-22,1.0
2025-04-07T04:00:00Z,2.711850621759677e-76,2.5970366460455085e-22,1.0
2025-04-08T04:00:00Z,7.042674378342212e-84,1.0426506131721113e-27,1.0
2025-04-09T04:00:00Z,1.0404738195394076e-127,1.4596064035851726e-09,0.9999999985403938
2025-04-10T04:00:00Z,3.2549170709627384e-146,1.7460373687875307e-14,0.9999999999999822
2025-04-11T04:00:00Z,7.02936609166769e-135,3.136980912061807e-12,0.999999999996863
2025-04-14T04:00:00Z,1.4479746743274528e-131,1.906944776762943e-11,0.9999999999809304
2025-04-15T04:00:00Z,1.6784609076861294e-131,4.615794462067108e-11,0.9999999999538423
2025-04-16T04:00:00Z,4.27792595899258e-132,3.474135401976926e-14,0.9999999999999654
2025-04-17T04:00:00Z,1.481361264051861e-129,5.11130419710806e-13,0.9999999999994889
2025-04-21T04:00:00Z,1.0253961504440217e-136,1.758551774763438e-15,0.9999999999999982
2025-04-22T04:00:00Z,2.5108856276846542e-135,1.199662748441504e-13,0.9999999999998801
2025-04-23T04:00:00Z,3.966846563292404e-135,2.4924924439579195e-11,0.999999999975075
2025-04-24T04:00:00Z,3.235140292419321e-142,8.741882055756441e-10,0.9999999991258117
2025-04-25T04:00:00Z,5.470577448831483e-146,8.687014585601096e-10,0.9999999991312984
2025-04-28T04:00:00Z,2.148066481505304e-146,5.671674717204311e-09,0.9999999943283253
2025-04-29T04:00:00Z,4.147893521411097e-147,7.426255752600336e-10,0.9999999992573745
2025-04-30T04:00:00Z,9.586258646696554e-146,3.097953847807241e-09,0.9999999969020461
2025-05-01T04:00:00Z,3.2349594979691558e-142,1.2968306279481195e-08,0.9999999870316936
2025-05-02T04:00:00Z,3.6210041717105974e-102,0.9999999830641145,1.693588476634002e-08
2025-05-05T04:00:00Z,2.0381475884258217e-93,1.0,4.2742945814250387e-26
2025-05-06T04:00:00Z,1.2649726577196769e-96,1.0,1.6443875622402085e-25
2025-05-07T04:00:00Z,2.3944891190272733e-102,1.0,3.2286362058591753e-31
2025-05-08T04:00:00Z,1.3083111160019796e-29,1.0,2.246751269527182e-26
2025-05-09T04:00:00Z,2.3160355963591854e-37,1.0,7.942503252015602e-23
2025-05-12T04:00:00Z,3.9702239989784094e-30,1.0,3.072309169461208e-37
2025-05-13T04:00:00Z,1.0812432013875569e-25,1.0,5.927986668706324e-39
2025-05-14T04:00:00Z,9.49221030293727e-26,1.0,1.3105050043503884e-40
2025-05-15T04:00:00Z,9.594603907454218e-31,1.0,5.4267091852083034e-39
2025-05-16T04:00:00Z,9.718542652052325e-28,1.0,6.116338798872422e-39
2025-05-19T04:00:00Z,8.265911221469714e-30,1.0,7.797987510042312e-31
