parameter,left_variant_id,right_variant_id,left_value,right_value,metric_gap
asymmetry.exclude_short,variant_0000_351990082d,variant_0001_61218dbae6,False,True,1.537688052853877
asymmetry.exclude_short,variant_0002_00653145ea,variant_0003_92729078fc,False,True,0.0
