ts_utc,weight__ml_cross_sectional_elastic_net_2026_q1__ml_cross_sectional_elastic_net_2026_q1_alpha_eval_813a3a37e1a0,weight__ml_cross_sectional_xgb_2026_q1__ml_cross_sectional_xgb_2026_q1_alpha_eval_366f61a76d97,weight__rank_composite_momentum_2026_q1__rank_composite_momentum_2026_q1_alpha_eval_81ef86e27306
2026-03-02T05:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-03-03T05:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-03-04T05:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-03-05T05:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-03-06T05:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-03-09T04:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-03-10T04:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-03-11T04:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-03-12T04:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-03-13T04:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-03-16T04:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-03-17T04:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-03-18T04:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-03-19T04:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-03-20T04:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-03-23T04:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-03-24T04:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-03-25T04:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-03-26T04:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-03-27T04:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-03-30T04:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-03-31T04:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-04-01T04:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
2026-04-02T04:00:00Z,0.33333333333303017,0.33333333333303017,0.33333333333303017
