ts_utc,portfolio_equity_curve
2026-03-02T05:00:00Z,1.0
2026-03-03T05:00:00Z,1.0001096413036061
2026-03-04T05:00:00Z,0.9990850094328148
2026-03-05T05:00:00Z,1.0001708656751804
2026-03-06T05:00:00Z,1.0005909867173177
2026-03-09T04:00:00Z,1.0006524298499282
2026-03-10T04:00:00Z,1.0000768003585763
2026-03-11T04:00:00Z,1.0023219791316615
2026-03-12T04:00:00Z,1.0034667823742685
2026-03-13T04:00:00Z,1.0044507905862767
2026-03-16T04:00:00Z,1.0030379126459013
2026-03-17T04:00:00Z,1.0035753723228615
2026-03-18T04:00:00Z,1.005101227360823
2026-03-19T04:00:00Z,1.0061627176544794
2026-03-20T04:00:00Z,1.0061820149075456
2026-03-23T04:00:00Z,1.0054928712611508
2026-03-24T04:00:00Z,1.0048268765972856
2026-03-25T04:00:00Z,1.0058271354095838
2026-03-26T04:00:00Z,1.0087754630968593
2026-03-27T04:00:00Z,1.0108314691020033
2026-03-30T04:00:00Z,1.0099255636692837
2026-03-31T04:00:00Z,1.007496273608017
2026-04-01T04:00:00Z,1.0061488297645789
2026-04-02T04:00:00Z,1.0081017596284825
