run_type,rank_within_type,entity_name,run_id,selected_metric_name,selected_metric_value,secondary_metric_name,secondary_metric_value,timeframe,evaluation_mode,promotion_status,passed_gate_count,gate_count,mapping_name,sleeve_metric_name,sleeve_metric_value,sleeve_secondary_metric_name,sleeve_secondary_metric_value,linked_portfolio_count,linked_portfolio_names,linked_portfolio_metric_name,linked_portfolio_metric_value,artifact_path
alpha_evaluation,1,rank_composite_momentum,rank_composite_momentum_alpha_eval_33fc0d387f50,ic_ir,350561232.1486001,mean_ic,0.9999952949916516,1D,alpha_evaluation,needs_review,,,top_bottom_quantile[q=0.34],sharpe_ratio,36.0,total_return,0.0015891762630411144,1.0,rank_composite_momentum_sleeve_portfolio,sharpe_ratio,36.00000000000001,artifacts/alpha/rank_composite_momentum_alpha_eval_33fc0d387f50
portfolio,1,rank_composite_momentum_sleeve_portfolio,rank_composite_momentum_sleeve_portfolio_portfolio_032512815b12,sharpe_ratio,36.00000000000001,total_return,0.009566662320207975,1D,single,needs_review,,,,,,,,,,,,artifacts/portfolios/rank_composite_momentum_sleeve_portfolio_portfolio_032512815b12
